Class_Code,Service,Flange_Rating,Max_Pressure,Max_Temp,Corrosion_Allow,Piping_Material,Small_Fitting,Valve_Body_Mtl,Valve_Trim,Gasket_Material,Gasket_Bolting,Instr_Spec,Comments,Last_Updt_Id,Last_Updt_date,Special_Note,Maintenance_Note
FAD3,"LEAN AMINES (DEA, MEA, MDEA), CAUSTIC (FRESH & SOUR)",CL 600 RF,ASME B16.5,500F,"0.125""",CARBON STEEL,CL 6000 SW,CARBON STEEL,12 CR/ STEL,SPIRAL WOUND,B7 STUD,S-01,PWHT FOR SERVICE,,2008-1-12,"A. ALL CARBON STEEL PIPE WELDING SHALL BE STRESS RELIEVED.  B. NO COPPER OR COPPER BEARING ALLOYS PERMITTED IN AMINE SERVICE.  C. GATE VALVES IN SIZES 2"" AND SMALLER ARE CONSIDERED TIGHT SHUT OFF IN ACCORDANCE WITH API 598 (ZERO LEAK DURING SEAT TEST). USE GATE VALVES IN THIS SIZE RANGE IN LIEU OF ORBIT VALVES FOR VENTS AND DRAINS, WHEN IT IS MORE ECONOMICAL.           D.  METAL THAT HAS BEEN EXPOSED TO CAUSTIC OR AMINE SERVICE MUST BE NEUTRALIZED PRIOR TO WELDING.  THE METAL SHALL BE THOROUGHLY RINSED WITH WATER AND THEN NEUTRALIZED WITH AMPLE AMOUNTS OF UNDILUTED VINEGAR.  ALLOW FOR THE SOLUTION TO REACT FOR APPROXIMATELY 5 MINUTES AND THEN RINSE AGAIN WITH WATER.  VERIFY NEUTRALIZATION USING LITMUS PAPER AND REPEAT IF NECESSARY.  ONCE NEUTRALIZED, DRY THE AREA AND PROCEED WITH WELDING. ",
FAH ,"600# STEAM & CONDENSATE, BOILER FEEDWATER, BLOWDOWN",CL 600 RF,ASME B16.5,800F,"0.0625""",CARBON STEEL,CL 3000 SW,CARBON STEEL,12 CR/ STEL,SPIRAL WOUND,B7 STUD,S-01, ,,2008-8-11,"A. FOR REPLACEMENT OF EXISTING VALVES WITH RTJ FLANGES, USE THE FOLLOWING V-NUMBERS FROM ENGINEERING STANDARD 205V:  GATE VALVES - V06004 GLOBE VALVES - V06404 CHECK VALVES - V06526  B. FLANGED VALVES ARE PREFERRED OVER WELD-END VALVES WHEN USED AT ROTATING MACHINERY FOR ALIGNMENT PURPOSES.  C.  ALTERNATIVELY TLV 3/4"" A50S C/W BO2 INTEGRAL BLOWDOWN VALVE CAN BE SUBSTITUTED IF DICTATED BY SPACE CONSTRAINTS (SW CONNECTIONS) ",
FAJ ,"600# STEAM & CONDENSATE, BOILER FEEDWATER, BLOWDOWN",CL 600 RTJ,ASME B16.5,800F,"0.0625""",CARBON STEEL,CL 3000 SW,CARBON STEEL,12 CR/ STEL,SOFT IRON OVAL RING,B7 STUD,S-01,FOR LAR ONLY,,2008-1-12,A. FLANGED VALVES ARE PREFERRED OVER WELD-END VALVES WHEN USED AT ROTATING MACHINERY FOR ALIGNMENT PURPOSES.,
FAP ,"BOILER EXTERNAL PIPING (ASME B31.1): STEAM, CONDENSATE, BFW, BLOWDOWN",CL 600 RF,ASME B16.5,800F,"0.0625""",CARBON STEEL,CL 3000 SW,CARBON STEEL,12 CR/ STEL,SPIRAL WOUND,B7 STUD,S-01, ,,2008-1-12,A. ALL CARBON STEEL PIPE WELDING IN BOILER CIRCULATING SYSTEMS THAT SEE CAUSTIC SOLUTION GREATER THAN 5 WT % SHALL BE STRESS RELIEVED.  B. FLANGED VALVES ARE PREFERRED OVER WELD-END VALVES WHEN USED AT ROTATING MACHINERY FOR ALIGNMENT PURPOSES.,"A. FOR REPLACEMENT OF EXISTING VALVES WITH RTJ FLANGES, USE THE FOLLOWING V-NUMBERS FROM ENGINEERING STANDARD 205V:  GATE VALVES - V06004 GLOBE VALVES - V06404 CHECK VALVES - V06526 "
FAT ,"BOILER EXTERNAL PIPING (ASME B31.1): STEAM, CONDENSATE, BFW, BLOWDOWN",CL 600 RTJ,ASME B16.5,800F,"0.0625""",CARBON STEEL,CL 3000 SW,CARBON STEEL,12 CR/ STEL,SOFT IRON OVAL RING,B7 STUD,S-01,FOR LAR ONLY,,2008-1-12,A. ALL CARBON STEEL PIPE WELDING IN BOILER CIRCULATING SYSTEMS THAT SEE CAUSTIC SOLUTION GREATER THAN 5 WT % SHALL BE STRESS RELIEVED.  B. FLANGED VALVES ARE PREFERRED OVER WELD-END VALVES WHEN USED AT ROTATING MACHINERY FOR ALIGNMENT PURPOSES.,
FC  ,H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50 PSIA OR GREATER),CL 600 RF (125-250 AARH),ASME B16.5,850F,"0.125""",1-1/4CR - 1/2MO,CL 6000 SW,1-1/4CR - 1/2 MO,12 CR/ STEL,SPIRAL WOUND,B7 STUD,S-04,PWHT FOR MATERIAL,,2008-1-12,ALL PRESSURE CONTAINING WELDS (SOCKETWELD OR BUTTWELD) SHALL BE STRESS RELIEVED REGARDLESS OF WALL THICKNESS. THREADED AND SEAL WELDED JOINTS ARE EXCLUDED.,
FCA ,CORROSIVE HYDROCARBON LIQUID & VAPOR,CL 600 RJ,ASME B16.5,1000F,"0.125""",1-1/4CR - 1/2 MO,CL 6000 SW,1-1/4CR - 1/2 MO,12 CR/ STEL,5 CR - 1/2 MO OVAL RING,B16 STUD,S-04,PWHT FOR MATERIAL,,2008-1-12,ALL PRESSURE CONTAINING WELDS (SOCKETWELD OR BUTTWELD) SHALL BE STRESS RELIEVED REGARDLESS OF WALL THICKNESS. THREADED AND SEAL WELDED JOINTS ARE EXCLUDED.,"FOR REPLACEMENT OF EXISTING WEDGE PLUG VALVES, USE V-NUMBER V06816 FROM ENGINEERING STANDARD 205V."
FCB ,H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50 PSIA OR GREATER),CL 600 RJ,ASME B16.5,1025F,"0.0625""",1-1/4CR - 1/2 MO,CL 3000 SW,1-1/4CR - 1/2 MO,12 CR/ STEL,5 CR - 1/2 MO  OVAL RING,B16 STUD,S-04 (see comment #2),(1) PWHT FOR MATERIAL. (2) USE S-11 IF SPECIFIED ON P&ID.,,2008-1-12,A.  ALL PRESSURE CONTAINING WELDS (SOCKETWELD  OR BUTTWELD) SHALL BE STRESS RELIEVED REGARDLESS OF WALL THICKNESS. THREADED AND SEAL WELDED JOINTS ARE EXCLUDED.  B.  REFER TO INSTRUMENT PIPING SPEC COMMENT IN INDEX INFO TAB,
FCD ,BOILER EXTERNAL PIPING (ASME B31.1): SUPERHEATED STEAM,CL 600 RJ,ASME B16.5,1050F,"0.0625""",1-1/4CR - 1/2 MO,CL 3000 SW,1-1/4CR - 1/2 MO,12 CR/ STEL,5 CR - 1/2 MO OVAL RING,B16 STUD,S-04,PWHT FOR MATERIAL,,2008-1-12,,
FCI ,HIGH TEMPERATURE (GREATER THAN 500F) O2 SERVICE (REGEN),CL 600 RJ,ASME B16.5,1025F,"0.0625""",1-1/4CR - 1/2 MO,CL 3000 SW,1-1/4CR - 1/2 MO,12 CR/ STEL,5 CR - 1/2 MO  OVAL RING,B16 STUD,S-04 (see comment #2),(1) PWHT FOR MATERIAL. (2) DO NOT USE VALVES FROM S-04.,,2008-4-17,"ALL PRESSURE CONTAINING WELDS (SOCKETWELD  OR BUTTWELD)  SHALL BE STRESS RELIEVED REGARDLESS OF WALL THICKNESS. THREADED AND SEAL WELDED JOINTS ARE EXCLUDED.  A.  ALL VALVES, GASKETS, AND OTHER NON-WELDED COMPONENTS SHALL BE ORDERED AS ""PREPARED FOR OXYGEN SERVICE"".  THIS NORMALLY INCLUDES CHEMICAL CLEANING AND SPECIAL PACKAGING.  B.  FLUID VELOCITY SHALL BE LIMITED TO 200 FEET PER SECOND. HIGHER VELOCITIES REQUIRE MONEL PIPING.  C.  THE INSTALLED PIPING SYSTEM SHALL BE MECHANICALLY AND CHEMICALLY CLEANED TO REMOVE CONTAMINANTS SUCH AS OIL, GREASE, LUBRICANTS, PAINTS, ETC., AND PARTICULATES SUCH AS WELD SLAG AND METAL CHIPS FROM MACHINING AND CUTTING OPERATIONS. REFER TO SOA-2100-04 FOR SYSTEM CLEANING PROCEDURE. REFER TO ""MAINT. NOTE"" SECTION FOR FIELD CLEANING PROCEDURE FOR USE ONLY ON INDIVIDUAL ITEMS IN ABNORMAL SITUATIONS WHEN COMMERCIALLY CLEANED ITEMS ARE NOT AVAILABLE.  D.  FILTERS MADE OF MONEL SHALL BE INSTALLED UPSTREAM OF PRESSURE REDUCING REGULATORS AND CONTROL VALVES TO CATCH PARTICULATES.  E.  FOR TEMPERATURES BELOW -20F, USE MONEL PIPING. BOLTING SHALL BE 304SS STUD BOLTS, ASTM A320 GRADE 8 WITH ASTM 194 GRADE 8 NUTS. ","CHEMICAL CLEANING PROCEDURE FOR CARBON STEEL AND LOW ALLOY VALVES TO 9CR  1. DISASSEMBLE AND INSPECT THE VALVE INITIALLY SO THAT IT CAN BE DIPPED AND ALL OF THE CLEANING SOLUTIONS REMOVED ENTIRELY, ALSO ANY VISIBLE DIRT/ GREASE SHOULD BE SWABBED OUT WITH A CLEANING RAG AT THIS TIME.  2. PLACE THE VALVE PIECES IN THE CLEANING CABINET IN THE MACHINE SHOP FOR DEGREASING ITEMS. THEY SHOULD BE CYCLED THROUGH THE CLEANING MACHINE WITH A SOAP OR DETERGENT ADDED. AT THE END OF THE CYCLE, THE VALVE SHOULD BE CLEAN SO THAT THERE IS NO RESIDUE OF ANY OIL WHEN USING WHITE LIGHT ILLUMINATION AND WITHOUT MAGNIFICATION WITH 20/20 VISION. IF THE VALVE IS NOT SUFFICIENTLY CLEAN, REPEAT THE CYCLE. AFTER THE SOAP CYCLE, RINSE ALL PARTS WITH CLEAN HOT WATER OR AS HOT CONDENSATE AND THEN QUICKLY DRY WITH AIR THAT HAS NO OIL ADDITION SUCH AS BREATHING AIR OR NITROGEN. ANY TRACES OF OIL RESIDUE THAT ARE NOT REMOVABLE THIS WAY NEED TO BE REMOVED WITH A PRODUCT SUCH AS CRC ELECTRAKLEEN. MAKE CERTAIN THE ARTICLE IS DRY AND IT SHOULD BE READY TO INSTALL. IF THERE IS RUST PROCEED TO STEP 3.  3. A SOLUTION OF EITHER 10 VOL % HYDROCHLORIC ACID OR 10 WT% CITRIC ACID SHALL BE MADE UP (1 GALLON ACID TO 9 GALLONS OF WATER FOR THE HCL OR 10 POUNDS OF CITRIC ACID TO 90 POUNDS OF WATER). ALSO, PREPARE INHIBITOR SOLUTION CONSISTING OF 1/2 PINT OF RODINE 95 TO THE APPROX 10 GALLONS OF SOLUTION. THE SOLUTION NEEDS TO BE MADE UP WITH 140F WATER IF HCL IS USED OR 170F WATER IF CITRIC ACID IS USED. USE A PLASTIC CONTAINER THAT IS SUFFICIENTLY STRONG AND ABLE TO MIX AND HANDLE THESE SOLUTIONS, SUCH AS A PLASTIC BARREL OF HIGH DENSITY POLYETHYLENE.  4. SOAK THE VALVE IN THE SOLUTION FOR 2-3 HOURS, REMOVE AND RINSE OFF TO CHECK FOR CLEAN. IF IT IS NOT CLEAN, MAKE NEW SOLUTION AND RESOAK. WHEN FINALLY CLEAN, PROCEED TO NEUTRALIZATION STEP 5.  5. USE ANOTHER CONTAINER TO PUT IN 100 POUNDS OR 10 GALLONS OF 160F WATER AND ADD 1-1.5 POUNDS OF SODA ASH, MIX THIS SOLUTION AND THEN SOAK THE VALVE IN THIS FOR ABOUT A HALF HOUR. REMOVE AND RINSE WITH CONDENSATE OR HOT WATER, THEN DRY WITH CLEAN BREATHING AIR AND PLACE THE VALVE IN A BAG WITH DESSICANT OR DRY PLACE SO NO FLASH RUST OCCURS UNTIL USE."
FD  ,H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50 PSIA  OR GREATER) (H2 HEATER PROCESS PREHEAT OUTLET PIPING),CL 600 RJ,ASME B16.5,1100F,"0.0625""",2-1/4CR - 1 MO,CL 3000 SW,316SS,316SS/ STEL,316SS  OVAL RING,B16 STUD,S-04,PWHT FOR  MATERIAL,,2008-1-12,A. 304SS AND 316SS FLANGE CONNECTIONS ARE USED TO MEET PRESSURE/TEMPERATURE REQUIREMENTS OF SERVICE.  B. ALL PRESSURE CONTAINING WELDS (SOCKETWELD OR BUTTWELD) SHALL BE  STRESS RELIEVED REGARDLESS OF WALL THICKNESS. THREADED AND SEAL WELDED JOINTS ARE EXCLUDED.,
FE  ,CORROSIVE HYDROCARBONS LIQUID & VAPOR,CL 600 RJ,ASME B16.5,1000F,"0.125""",5CR - 1/2 MO,CL 6000 SW,5CR - 1/2 MO,12 CR/ STEL,5 CR - 1/2 MO OVAL RING,B16 STUD,S-04,PWHT FOR MATERIAL,,2008-1-12,ALL PRESSURE CONTAINING WELDS (SOCKETWELD OR BUTTWELD) SHALL BE STRESS RELIEVED REGARDLESS OF WALL THICKNESS. THREADED AND SEAL WELDED JOINTS ARE EXCLUDED.,"FOR REPLACEMENT OF EXISTING WEDGE PLUG VALVES, USE V-NUMBER V06815 FROM ENGINEERING STANDARD 205V."
FEX ,H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50 PSIA OR GREATER),CL 600 RF (125-250 AARH),ASME B16.5,750F(GOVERNED BY API941-NELSON CURVE),"0.125""",5CR - 1/2MO,CL 6000 SW,5CR - 1/2 MO,12 CR/ STEL,SPIRAL WOUND,B7 STUD,S-04,PWHT FOR MATERIAL.,,2008-1-12,ALL PRESSURE CONTAINING WELDS (SOCKETWELD OR BUTTWELD) SHALL BE STRESS RELIEVED REGARDLESS OF WALL THICKNESS. THREADED AND SEAL WELDED JOINTS ARE EXCLUDED.,"FOR REPLACEMENT OF EXISTING WEDGE PLUG VALVES, USE V-NUMBER V06817 FROM ENGINEERING STANDARD 205V."
FFB ,CORROSIVE HYDROCARBONS LIQUID & VAPOR,CL 600 RJ,ASME B16.5,950F,"0.125""",9CR - 1 MO,CL 6000 SW,9 CR - 1 MO,12 CR/ STEL,12 CR OVAL RING,B16 STUD,S-04,PWHT FOR MATERIAL,,2008-1-12,ALL PRESSURE CONTAINING WELDS (SOCKETWELD OR BUTTWELD) SHALL BE STRESS RELIEVED REGARDLESS OF WALL THICKNESS. THREADED AND SEAL WELDED JOINTS ARE EXCLUDED.	,"FOR REPLACEMENT OF EXISTING WEDGE PLUG VALVES, USE V-NUMBER V06810 FROM ENGINEERING STANDARD 205V."
FFV ,CORROSIVE HYDROCARBONS LIQUID & VAPOR,CL 600 RF,ASME B16.5,850F,"0.125""",9 CR - 1 MO,CL 6000 SW,9 CR - 1 MO,12 CR/ STEL,SPIRAL WOUND,B7 STUD,S-04,PWHT FOR MATERIAL,,2008-1-12,"A. ORIGINAL PIPE CLASS SPECIFIED 5 CR 1/2 MO VALVES AND ALLOWED 1/2"" AND 3/4"" PROCESS PIPING (C.P. ONLY).  B. ALL PRESSURE CONTAINING WELDS (SOCKETWELD OR BUTTWELD) SHALL BE STRESS RELIEVED REGARDLESS OF WALL THICKNESS. THREADED AND SEAL WELDED JOINTS ARE EXCLUDED. ",
FFX ,H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50 PSIA OR GREATER),CL 600 RF (125-250 AARH),ASME B16.5,850F(GOVERNED BY API941-NELSON CURVE),"0.125""",9 CR - 1 MO,CL 6000 SW,9 CR - 1 MO,12 CR/ STEL,SPIRAL WOUND,B7 STUD,S-04,PWHT FOR MATERIAL,,2008-1-12,ALL PRESSURE CONTAINING WELDS (SOCKETWELD OR BUTTWELD) SHALL BE STRESS RELIEVED REGARDLESS OF WALL THICKNESS. THREADED AND SEAL WELDED JOINTS ARE EXCLUDED.,
FJL ,BFW CHEMICALS,CL 600 RF,ASME B16.5,200F,NONE,304LSS,CL 3000 SW,316SS,316SS/ STEL,SPIRAL WOUND,B7 STUD,S-04, ,,2008-1-12,,
FLA ,"HGO (HEAVY GAS OIL), ATMOSPHERIC CRUDE, RESID",CL 600 RF,450 PSIG,750F MAX.,"0.0313""",316L SS,CL 3000 SW,316SS,316SS/ STELL.,SPIRAL WOUND,B7 STUD,S-04, ,,2008-1-12,"GATE VALVES IN SIZES 1-1/2"" AND SMALLER ARE SPECIFIED AS REDUCED PORT. IF FULL PORT VALVES ARE REQUIRED FOR PROCESS REASONS OR FOR PSV BLOCK VALVES, SPECIFY FULL PORT.",
FQ  ,H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50 PSIA OR GREATER),CL 600 RJ,ASME B16.5,1000F,"0.0625""",321SS,CL 3000 SW,347SS,347SS/ STEL,347SS OVAL RING,B16 STUD,S-04,PWHT FOR SERVICE,,2008-1-12,"A.  DRAIN AND LOW POINT PIPING MATERIALS FOR DRAIN AND LOW POINT PIPING SHALL BE INCOLOY ALLOY 825 FOR WELDOLET, SOCKOLET, AND PIPE NIPPLE(S), AND 347 STAINLESS STEEL BLOCK VALVE(S) (DOUBLE BLOCK). PIPING DOWNSTREAM OF THE SECOND BLOCK VALVE MAY BE 321 STAINLESS STEEL. THE INCOLOY ALLOY 825 SHALL CONFORM TO THE FOLLOWING:  PIPE: SEAMLESS, INCOLOY ALLOY 825 (UNS N08225), ASTM B423, ANNEALED, PLAIN ENDS, ALLOWABLE STRESSES IN ACCORDANCE WITH ASME SECTION VIII DIV. 1 LATEST EDITION, CHEMICAL AND MECHANICAL PROPERTIES IN ACCORDANCE WITH THE INCO ALLOYS INTERNATIONAL PUBLICATION ENTITLED ""INCOLOY ALLOY 825"",  LATEST EDITION.  1/2"" - 1-1/2"" SCHEDULE 80S 2"" & LARGER CALC WALL THICKNESS  FLANGES: CLASS 1500, RTJ, FORGED INCOLOY 825 (UNS N08225), ASTM B564, ANNEALED, ALLOWABLE STRESSES IN ACCORDANCE WITH  INCO ALLOY INTERNATIONAL PUBLICATION ENTITLED ""INCOLOY ALLOY 825"", LATEST EDITION. THE FINISHED PRODUCT SHALL BE LIQUID PENETRANT EXAMINED ON ALL ACCESSIBLE SURFACES IN ACCORDANCE WITH ASTM RECOMMENDED PRACTICE E 165.  1/2"" - 1-1/2"" SOCKETWELD, SCHEDULE 80S BORE 2"" & LARGER WELD NECK, BORE TO MATCH PIPE  WELDOLET/SOCKOLET: FORGED INCOLOY ALLOY 825  (UNS N08225), ASTM B564, ANNEALED, ALLOWABLE STRESSES IN ACCORDANCE WITH ASME SECTION VIII, DIV. I, LATEST EDITION, CHEMICAL AND MECHANICAL PROPERTIES IN ACCORDANCE WITH THE INCO ALLOY INTERNATIONAL PUBLICATION ENTITLED ""INCOLOY ALLOY 825"", LATEST EDITION. THE FINISHED PRODUCT SHALL BE LIQUID PENETRANT EXAMINED ON ALL ACCESSIBLE SURFACES IN ACCORDANCE WITH ASTM RECOMMENDED PRACTICE E 165.  B. POSTWELD HEAT TREATMENT POSTWELD HEAT TREATMENT IS REQUIRED FOR 321SS PIPING BUTTWELDS (SW EXCLUDED), INCLUDING BUTTWELDS BETWEEN 321SS AND INCOLOY 825. BUTTWELDS BETWEEN PIPING AND 347SS VALVES, BETWEEN 347SS DRAIN VALVES AND INCOLOY 825 PIPE AND ALL WELDS IN THE 321SS PIPING DOWNSTREAM OF THE DRAIN VALVES NEED NOT BE POSTWELD HEAT TREATED. ",
GA  ,"H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50 PSIA OR GREATER), HIGH PRESSURE PROCESS WATER",CL 900 RJ,ASME B16.5,500F(GOVERNED BY API941-NELSON CURVE),"0.0625""",CARBON STEEL,CL 6000 SW,CARBON STEEL,12 CR/ STEL,SOFT IRON OVAL RING,B7 STUD,S-02, ,,2008-1-12,"1. GATE VALVES IN SIZES 2"" AND SMALLER ARE CONSIDERED TIGHT SHUT OFF IN ACCORDANCE WITH API 598 (ZERO LEAK DURING SEAT TEST). USE GATE VALVES IN THIS SIZE RANGE IN LIEU OF ORBIT VALVES FOR VENTS AND DRAINS, WHEN IT IS MORE ECONOMICAL.  2. THE RADIOGRAPHY REQUIREMENT FOR VALVE BODIES AND BONNETS SPECIFIED IN THE V-SHEETS APPLIES TO HYDROGEN SERVICE ONLY AND NOT TO HIGH PRESSURE PROCESS WATER.","A. EXISTING PLUG VALVES SHOULD BE REPLACED WITH ORBIT VALVES.  B. FOR VALVE REPLACEMENT, FIELD VERIFY EXISTING END-TO-END DIMENSION AND COMPARE WITH CURRENT DIMENSIONS OF APPROVED VALVES."
GAA ,"H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50 PSIA OR GREATER), HIGH PRESSURE PROCESS WATER",CL 900 RF,ASME B16.5,GVRND BY API941-NELSON CURVE FOR H2PARTIAL TEMP,"0.0625""",CARBON STEEL,CL 6000 SW,CARBON STEEL,12 CR/ STEL,SPIRAL WOUND,B7 STUD,S-02, ,,2009-1-19,"1. GATE VALVES IN SIZES 2"" AND SMALLER ARE CONSIDERED TIGHT SHUT OFF IN ACCORDANCE WITH API 598 (ZERO LEAK DURING SEAT TEST). USE GATE VALVES IN THIS SIZE RANGE IN LIEU OF ORBIT VALVES FOR VENTS AND DRAINS, WHEN IT IS MORE ECONOMICAL.  2. THE RADIOGRAPHY REQUIREMENT FOR VALVE BODIES AND BONNETS SPECIFIED IN THE V-SHEETS APPLIES TO HYDROGEN SERVICE ONLY AND NOT TO HIGH PRESSURE PROCESS WATER.  3.  USE PIPE SPEC GA FOR RTJ FLANGES AND GASKETS WHEN MATING TO EXISTING CARBON STEEL CLASS 900 OR GREATER EQUIPMENT.",
GAC ,H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50 PSIA OR GREATER),CL 900 RJ,ASME B16.5,750F(GOVERNED BY API941-NELSON CURVE),"0.125""",CARBON STEEL,CL 6000 SW,CARBON STEEL,12 CR/ STEL,SOFT IRON OVAL RING,B7 STUD,S-02, ,,2008-1-12,"GATE VALVES IN SIZES 2"" AND SMALLER ARE CONSIDERED TIGHT SHUT OFF IN ACCORDANCE WITH API 598 (ZERO LEAK DURING SEAT TEST). USE GATE VALVES IN THESE SIZE RANGE IN LIEU OF ORBIT VALVES FOR VENTS AND DRAINS, WHEN IT IS MORE ECONOMICAL.","A. EXISTING PLUG VALVES SHOULD BE REPLACED WITH ORBIT VALVES.  B. FOR VALVE REPLACEMENT, FIELD VERIFY EXISTING END-TO-END DIMENSION AND COMPARE WITH CURRENT DIMENSIONS OF APPROVED VALVES. "
GAC4,GACN4 - JACOBS ENG. TO CORRECT 4/4/08 - HYDROGEN/HYDROCARBON LIQUID & VAPOR / SOUR WATER,CL 900 RF,ASME B16.5,500F (GOVERNED BY API RP 941 - NELSON CURVE),"0.250""",CARBON STEEL,CL 6000/9000 SW,CARBON STEEL,316SS/ STEL,SPIRAL WOUND,B7 STUD,S-02,NACE REQUIRED,,2008-4-7,"A. NO COPPER OR COPPER BEARING ALLOYS PERMITTED IN THIS SERVICE.  B. VALVES TO HAVE NACE TRIM. BONNET BOLTS MAY BE ASTM A193 GRADE B7 WITH 2H NUTS.  C. GATE VALVES IN SIZES 2"" AND SMALLER ARE CONSIDERED TIGHT SHUT OFF IN ACCORDANCE WITH API 598 (ZERO LEAK DURING SEAT TEST). USE GATE VALVES IN THIS SIZE RANGE IN LIEU OF ORBIT VALVES FOR VENTS AND DRAINS, WHEN IT IS MORE ECONOMICAL.  ",
GACA,"H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50 PSIA OR GREATER), HIGH PRESSURE PROCESS WATER",CL 900 RF,ASME B16.5,(GOVERNED BY API941-NELSON CURVE),"0.125""",CARBON STEEL,CL 6000 SW,CARBON STEEL,12 CR/ STEL,SPIRAL WOUND,B7 STUD,S-02, ,,2009-2-10,"1. GATE VALVES IN SIZES 2"" AND SMALLER ARE CONSIDERED TIGHT SHUT OFF IN ACCORDANCE WITH API 598 (ZERO LEAK DURING SEAT TEST). USE GATE VALVES IN THIS SIZE RANGE IN LIEU OF ORBIT VALVES FOR VENTS AND DRAINS, WHEN IT IS MORE ECONOMICAL.  2. THE RADIOGRAPHY REQUIREMENT FOR VALVE BODIES AND BONNETS SPECIFIED IN THE V-SHEETS APPLIES TO HYDROGEN SERVICE ONLY AND NOT TO HIGH PRESSURE PROCESS WATER.  3.  USE PIPE SPEC GA FOR RTJ FLANGES AND GASKETS WHEN MATING TO EXISTING CARBON STEEL CLASS 900 OR GREATER EQUIPMENT.",
GACN,"WET  SOUR GAS, SOUR H2O, ACID GAS",CL 900 RJ,ASME B16.5,750F,"0.125""",CARBON STEEL,CL 6000 SW,CARBON STEEL,316SS/ STEL,SOFT IRON OVAL RING,B7 STUD,S-02,NACE REQUIRED,,2008-1-12,"A. NO COPPER OR COPPER BEARING ALLOYS PERMITTED IN THIS SERVICE.  B. VALVES TO HAVE NACE TRIM. BONNET BOLTS MAY BE ASTM A193 GRADE B7 WITH 2H NUTS.  C. GATE VALVES IN SIZES 2"" AND SMALLER ARE CONSIDERED TIGHT SHUT OFF IN ACCORDANCE WITH API 598 (ZERO LEAK DURING SEAT TEST). USE GATE VALVES IN THIS SIZE RANGE IN LIEU OF ORBIT VALVES FOR VENTS AND DRAINS, WHEN IT IS MORE ECONOMICAL.","A. FOR VALVE REPLACEMENT, FIELD VERIFY EXISTING END-TO-END DIMENSION AND COMPARE WITH CURRENT DIMENSIONS OF APPROVED VALVES."
GAD ,HYDROCARBON LIQUID & VAPOR,CL 900 RJ,ASME B16.5,750F,"0.0625""",CARBON STEEL,CL 6000 SW,CARBON STEEL,12 CR/ STEL,SOFT IRON OVAL RING,B7 STUD,S-02, ,,2008-1-12,"GATE VALVES IN SIZES 2"" AND SMALLER ARE CONSIDERED TIGHT SHUT OFF IN ACCORDANCE WITH API 598 (ZERO LEAK DURING SEAT TEST). USE GATE VALVES IN THIS SIZE RANGE IN LIEU OF ORBIT VALVES FOR VENTS AND DRAINS, WHEN IT IS MORE ECONOMICAL.","FOR VALVE REPLACEMENT, FIELD VERIFY EXISTING END-TO-END DIMENSION AND COMPARE WITH CURRENT DIMENSIONS OF APPROVED VALVES."
GCG ,H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50 PSIA OR GREATER),CL 900 RJ,ASME B16.5,750F(GOVERNED BY API941-NELSON CURVE),"0.125""",1-1/4CR - 1/2 MO,CL 6000 SW,1-1/4CR - 1/2 MO,12 CR/ STEL,5CR - 1/2 MO  OVAL RING,B7 STUD,S-05,PWHT FOR MATERIAL,,2008-1-12,ALL PRESSURE CONTAINING WELDS (SOCKETWELD OR BUTTWELD) SHALL BE STRESS RELIEVED REGARDLESS OF WALL THICKNESS. THREADED AND SEAL WELDED JOINTS ARE EXCLUDED.,"FOR VALVE REPLACEMENT, FIELD VERIFY EXISTING END-TO-END DIMENSION AND COMPARE WITH CURRENT DIMENSIONS OF APPROVED VALVES."
GD  ,H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50 PSIA OR GREATER),CL 900 RJ,ASME B16.5,750F(GOVERNED BY API941-NELSONCURVE),"0.125""",2-1/4C4 - 1 MO,CL 6000 SW,2-1/4CR - 1 MO,12 CR/ STEL,5CR -1/2MO OVAL RING,B7 STUD,S-05,PWHT FOR MATERIAL,,2008-1-12,ALL PRESSURE CONTAINING WELDS (SOCKETWELD OR BUTTWELD) SHALL BE STRESS RELIEVED REGARDLESS OF WALL THICKNESS. THREADED AND SEAL WELDED JOINTS ARE EXCLUDED.,"FOR VALVE REPLACEMENT, FIELD VERIFY EXISTING END-TO-END DIMENSION AND COMPARE WITH CURRENT DIMENSIONS OF APPROVED VALVES."
